year,title,character,classification,actor
1975,The Rocky Horror Picture Show,Brad Majors,Bisexual,Barry Bostwick
1975,The Rocky Horror Picture Show,Rocky,Bisexual,Peter Hinwood
1975,The Rocky Horror Picture Show,Dr. Frank-N-Furter,Trans woman,Tim Curry
2001,The Royal Tenenbaums,Margot Tennenbaum,Bisexual,Gwyneth Paltrow
2002,The Rules of Attraction,Paul Denton,Gay,Ian Somerhalder
1968,The Sergeant,Albert Callan,Gay,Rod Steiger
1991,The Silence of the Lambs,Jame Gumb,Bisexual,Ted Levine
2011,The Skin I Live In,Cristina,Lesbian,Bàrbara Lennie
1994,The Sum Of Us,Jeff Mitchell,Gay,Russell Crowe
2014,The Taking of Deborah Logan,Sarah Logan,Lesbian,Anne Ramsay
1999,The Talented Mr. Ripley,Tom Ripley,Bisexual,Matt Damon
1970,The Vampire Lovers,Carmilla Karnstein,Lesbian,Ingrid Pitt
1993,The Wedding Banquet,Wai-Tung Gao,Gay,Winston Chao
1982,The World According to Garp,Roberta Muldoon,Trans woman,John Lithgow
2017,Thor: Ragnarok,Valkyrie,Bisexual,Tessa Thompson
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Chi-Chi Rodriguez,Gay,John Leguizamo
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Noxeema Jackson,Gay,Wesley Snipes
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Vida Boheme,Gay,Patrick Swayze
2005,Transamerica,Toby,Bisexual,Kevin Zegers
2005,Transamerica,"Sabrina ""Bree"" Osbourne",Trans woman,Felicity Huffman
1999,Trick,Gabriel,Gay,Christian Campbell
1999,Trick,Mark,Gay,John Paul Pitoc
2003,Under the Tuscan Sun,Patti,Lesbian,Sandra Oh
2005,V for Vendetta,Gordon Deitrich,Gay,Stephen Fry
2005,V for Vendetta,Valerie Page,Lesbian,Natasha Wightman
2010,Valentine's Day,Holden Wilson,Gay,Bradley Cooper
2010,Valentine's Day,Sean Jackson,Gay,Eric Dane
1998,Velvet Goldmine,Arthur Stuart,Bisexual,Christian Bale
1998,Velvet Goldmine,Brian Slade,Bisexual,Jonathan Rhys Meyers
1998,Velvet Goldmine,Curt Wild,Bisexual,Ewan McGregor
1998,Velvet Goldmine,Mandy Slade,Bisexual,Toni Collette
1961,Victim,Melville Farr,Gay,Dirk Bogarde
1982,Victor/Victoria,Richard DiNardo,Bisexual,Malcolm Jamieson
1982,Victor/Victoria,'Squash' Bernstein,Gay,Alex Karras
1982,Victor/Victoria,"Carroll ""Toddy"" Todd",Gay,Robert Preston
1997,Waiting for Guffman,Corky St. Clair,Gay,Christopher Guest
2007,Walk Hard: The Dewey Cox Story,Dewey Cox,Bisexual,John C. Reilly
2005,Wedding Crashers,Todd Cleary,Gay,Keir O'Donnell
2006,Wedding Wars,Shel,Gay,John Stamos
2001,Wet Hot American Summer,Ben,Gay,Bradley Cooper
2001,Wet Hot American Summer,McKinley,Gay,Michael Ian Black
2005,Where the Truth Lies,Vince Collins,Bisexual,Colin Firth
2004,White Chicks,Aubrey Allure,Gay,Kevin Blatch
2009,Woman on Top,Monica Jones,Trans woman,Harold Perrineau Jr.
2000,Wonder Boys,"Terry ""Crabs"" Crabtree",Bisexual,Robert Downey Jr.
2000,Wonder Boys,James Leer,Gay,Tobey Maguire
2010,Yes or No,Pie,Bisexual,Sushar Manaying
2010,Yes or No,Kim,Lesbian,Supanart Jittaleela
1981,"Zorro, the Gay Blade",Bunny Wigglesworth,Gay,George Hamilton
