year,title,character,classification,actor
1998,Get Real,John Dixon,Gay,Brad Gorton
1998,Get Real,Steven Carter,Gay,Ben Silverstone
2014,Girltrash: All Night Long,Colby Robson,Lesbian,Gabrielle Christian
2014,Girltrash: All Night Long,Daisy Robson,Lesbian,Lisa Rieffel
2014,Girltrash: All Night Long,Misty Monroe,Lesbian,Mandy Musgrave
2014,Girltrash: All Night Long,Sid,Lesbian,Kate French
1953,Glen or Glenda,Glenda,Trans woman,Ed Wood
2017,God's Own Country,Gheorghe Ionescu,Gay,Alec Secareanu
2017,God's Own Country,Johnny Saxby,Gay,Josh O'Connor
1964,Goldfinger,Pussy Galore,Lesbian,Honor Blackman
2015,Grandma,Elle Reid,Lesbian,Lily Tomlin
2015,Grandma,Deathy,Trans woman,Laverne Cox
2001,Gypsy 83,Clive Webb,Gay,Kett Turton
2003,Hamlet 2,Rand Posin [4],Gay,Skylar Astin
2016,Handsome Devil,Conor Masters,Gay,Nicholas Galitzine
2016,Handsome Devil,Dan Sherry,Gay,Andrew Scott
2002,Harry Potter and the Chamber of Secrets,Albus Dumbledore,Gay,Richard Harris
2010,Harry Potter and the Deathly Hallows Part 1,Albus Dumbledore,Gay,Michael Gambon
2011,Harry Potter and the Deathly Hallows Part 2,Albus Dumbledore,Gay,Michael Gambon
2005,Harry Potter and the Goblet of Fire,Albus Dumbledore,Gay,Michael Gambon
2009,Harry Potter and the Half-Blood Prince,Albus Dumbledore,Gay,Michael Gambon
2007,Harry Potter and the Order of the Phoenix,Albus Dumbledore,Gay,Michael Gambon
2001,Harry Potter and the Philosopher's Stone,Albus Dumbledore,Gay,Richard Harris
2004,Harry Potter and the Prisoner of Azkaban,Albus Dumbledore,Gay,Michael Gambon
1998,Head On,Ari,Gay,Alex Dimitriades
2016,Heartstone,Kristjàn,Gay,Bl_r Hinriksson
2001,Hedwig and the Angry Inch,Luther Robinson,Gay,Maurice Dean Wint
2001,Hedwig and the Angry Inch,Hedwig Robinson/Hansel,Trans woman,John Cameron Mitchell
1998,High Art,Syd,Bisexual,Radha Mitchell
1998,High Art,Greta,Lesbian,Patricia Clarkson
1998,High Art,Lucy Berliner,Lesbian,Ally Sheedy
2000,Holiday Heart,Holiday Heart,Gay,Ving Rhames
1996,Hollow Reed,Tom Dixon,Gay,Ian Hart
1995,Home for the Holidays,Tommy Larson,Gay,Robert Downey Jr.
2013,Horns,Eric Hannity,Gay,Michael Adamthwaite
2009,I Love You Phillip Morris,Steven Russell,Bisexual,Jim Carrey
2009,I Love You Phillip Morris,Phillip Morris,Gay,Ewan Mcgregor
2009,"I Love You, Beth Cooper",Rich Munsch,Gay/Bisexual,Jack Carpenter
2007,I Now Pronounce You Chuck & Larry,Fred Duncan,Gay,Ving Rhames
1996,I Shot Andy Warhol,Candy Darling,Trans woman,Stephen Dorff
2001,Ichi the Killer,Kakihara,Bisexual,Tadanobu Asano
