"id","title","input","release_date","mpaa_rating","imdb_rating","num_votes","genre_drama","genre_comedy","genre_action","genre_romance","genre_adventure","genre_thriller"
"/title/tt0107818/","Philadelphia","lgbt","1994-01-14","PG-13","7.7",196282,1,0,0,0,0,0
"/title/tt0107156/","The Wedding Banquet","lgbt","1993-08-04","R","7.7",11917,1,1,0,1,0,0
"/title/tt0109831/","Four Weddings and a Funeral","lgbt","1994-04-15","R","7.1",118771,1,1,0,1,0,0
"/title/tt0110912/","Pulp Fiction","lgbt","1994-10-14","R","8.9",1512306,1,0,0,0,0,1
"/title/tt0112508/","Billy Madison","lgbt","1995-02-10","PG-13","6.4",114946,0,1,0,0,0,0
"/title/tt0112637/","Carrington","lgbt","1995-11-10","R","6.9",4670,1,0,0,1,0,0
"/title/tt0113321/","Home for the Holidays","lgbt","1995-11-03","PG-13","6.6",10116,1,1,0,1,0,0
"/title/tt0113463/","Jefferson in Paris","lgbt","1995-03-31","PG-13","5.7",2571,1,0,0,0,0,0
"/title/tt0113464/","Jeffrey","lgbt","1995-08-18","R","6.7",5142,1,1,0,0,0,0
"/title/tt0114436/","Showgirls","lgbt","1995-09-22","NC-17","4.7",54727,1,0,0,0,0,0
"/title/tt0112887/","The Doom Generation","lgbt","1995-10-27","R","6.0",12402,0,1,1,0,0,1
"/title/tt0113416/","The Incredibly True Adventure of Two Girls in Love","lgbt","1995-06-16","R","6.5",3849,1,1,0,1,0,0
"/title/tt0115640/","Beautiful Thing","lgbt","1996-10-09","R","7.7",20279,1,1,0,1,0,0
"/title/tt0115814/","Camping Cosmos","lgbt","1996-06-19",NA,"5.5",260,0,1,0,1,1,0
"/title/tt0115906/","Citizen Ruth","lgbt","1996-12-13","R","7.0",6439,1,1,0,0,0,0
"/title/tt0116324/","Flirting with Disaster","lgbt","1996-04-12","R","6.8",16033,0,1,0,0,0,0
"/title/tt0113314/","Hollow Reed","lgbt","1997-04-18","R","7.3",967,1,0,0,1,0,0
"/title/tt0116594/","I Shot Andy Warhol","lgbt","1996-05-01","R","6.6",5825,1,0,0,0,0,0
"/title/tt0116714/","Johns","lgbt","1997-01-31","R","6.3",1552,1,0,0,1,0,0
"/title/tt0117666/","Sling Blade","lgbt","1997-03-14","R","8.0",78252,1,0,0,0,0,0
"/title/tt0115685/","The Birdcage","lgbt","1996-03-08","R","7.0",68214,0,1,0,0,0,0
"/title/tt0118586/","All Over Me","lgbt","1997-07-16","R","6.6",2914,1,0,0,1,0,1
"/title/tt0119822/","As Good as It Gets","lgbt","1997-12-25","PG-13","7.7",243288,1,1,0,1,0,0
"/title/tt0118655/","Austin Powers: International Man of Mystery","lgbt","1997-05-02","PG-13","7.0",197241,0,1,0,0,1,0
"/title/tt0118749/","Boogie Nights","lgbt","1997-10-31","R","7.9",208216,1,0,0,0,0,0
"/title/tt0118842/","Chasing Amy","lgbt","1997-04-18","R","7.3",121479,1,1,0,1,0,0
"/title/tt0119590/","Ma Vie en Rose","lgbt","1997-12-26","R","7.6",7904,1,0,0,0,0,0
"/title/tt0119668/","Midnight in the Garden of Good and Evil","lgbt","1997-11-21","R","6.6",33852,1,0,0,0,0,1
"/title/tt0119738/","My Best Friend's Wedding","lgbt","1997-06-20","PG-13","6.3",109396,1,1,0,1,0,0
"/title/tt0126810/","Bedrooms and Hallways","lgbt","1999-04-09","NOT RATED","6.4",3042,0,1,0,1,0,0
"/title/tt0144120/","Bride of Chucky","lgbt","1998-10-16","R","5.4",44629,0,1,0,0,0,1
"/title/tt0138414/","Edge of Seventeen","lgbt","2000-04-20","NOT RATED","6.8",5077,1,1,0,1,0,0
"/title/tt0162973/","Get Real","lgbt","1999-04-30","R","7.6",11340,1,1,0,1,0,0
"/title/tt0138487/","Head On","lgbt","1998-08-13","NOT RATED","6.4",3582,1,0,0,1,0,0
"/title/tt0139362/","High Art","lgbt","1998-06-12","R","6.7",9006,1,0,0,1,0,0
"/title/tt0150662/","Show Me Love","lgbt","1998-10-23","NOT RATED","7.6",45433,1,1,0,1,0,0
"/title/tt0120772/","The Object of My Affection","lgbt","1998-04-17","R","6.0",16835,1,1,0,1,0,0
"/title/tt0120879/","Velvet Goldmine","lgbt","1998-10-23","R","7.0",29845,1,0,0,0,0,0
"/title/tt0185125/","All About My Mother","lgbt","2000-03-31","R","7.9",76711,1,0,0,0,0,0
"/title/tt0169547/","American Beauty","lgbt","1999-10-01","R","8.4",931787,1,0,0,0,0,0
"/title/tt0145660/","Austin Powers: The Spy Who Shagged Me","lgbt","1999-06-11","PG-13","6.6",194925,0,1,1,0,1,0
"/title/tt0168987/","Better Than Chocolate","lgbt","1999-08-13","R","6.2",7101,1,1,0,1,0,0
"/title/tt0142342/","Big Daddy","lgbt","1999-06-25","PG-13","6.4",176211,1,1,0,0,0,0
"/title/tt0124298/","Blast from the Past","lgbt","1999-02-12","PG-13","6.6",53290,1,1,0,1,0,0
"/title/tt0171804/","Boys Don't Cry","lgbt","2000-03-31","R","7.6",83714,1,0,0,0,0,1
"/title/tt0179116/","But I'm a Cheerleader","lgbt","2000-08-11","R","6.6",21983,1,1,0,1,0,0
"/title/tt0126886/","Election","lgbt","1999-05-07","R","7.3",79604,1,1,0,1,0,0
"/title/tt0155711/","Flawless","lgbt","1999-11-24","R","6.4",15765,1,1,0,0,0,1
"/title/tt0175880/","Magnolia","lgbt","2000-01-07","R","8.0",259418,1,0,0,0,0,0
"/title/tt0162677/","Summer of Sam","lgbt","1999-07-02","R","6.6",32901,1,0,0,1,0,1
"/title/tt0144117/","The Boondock Saints","lgbt","1999-11-19","R","7.9",210025,0,0,1,0,0,1
"/title/tt0134119/","The Talented Mr. Ripley","lgbt","1999-12-25","R","7.4",152909,1,0,0,0,0,1
"/title/tt0162710/","Trick","lgbt","1999-07-23","R","7.2",7402,0,1,0,1,0,0
"/title/tt0144084/","American Psycho","lgbt","2000-04-14","R","7.6",402809,1,0,0,0,0,1
"/title/tt0247196/","Before Night Falls","lgbt","2001-02-23","R","7.3",22083,1,0,0,1,0,0
"/title/tt0218839/","Best in Show","lgbt","2000-10-20","PG-13","7.5",49310,0,1,0,0,0,0
"/title/tt0249462/","Billy Elliot","lgbt","2000-11-10","R","7.7",107065,1,0,0,1,0,0
"/title/tt0204946/","Bring It On","lgbt","2000-08-25","PG-13","6.0",76739,0,1,0,1,0,0
"/title/tt0200530/","Chuck & Buck","lgbt","2000-08-04","R","6.6",4855,1,1,0,0,0,0
"/title/tt0175142/","Scary Movie","lgbt","2000-07-07","R","6.2",204301,0,1,0,0,0,0
"/title/tt0185014/","Wonder Boys","lgbt","2000-02-25","R","7.4",57211,1,1,0,0,0,0
"/title/tt0221027/","Blow","lgbt","2001-04-06","R","7.6",215192,1,0,0,0,0,1
"/title/tt0251110/","Gypsy 83","lgbt","2001-06-06","R","7.0",1369,1,0,0,1,0,0
"/title/tt0248845/","Hedwig and the Angry Inch","lgbt","2001-08-31","R","7.8",28247,1,1,0,0,0,0
"/title/tt0264761/","Kissing Jessica Stein","lgbt","2002-04-05","R","6.6",14803,1,1,0,1,0,0
"/title/tt0245238/","Lost and Delirious","lgbt","2001-09-20","R","7.0",18265,1,0,0,1,0,0
"/title/tt0257106/","Scary Movie 2","lgbt","2001-07-04","R","5.3",131237,0,1,0,0,0,0
"/title/tt0243133/","The Man Who Wasn't There","lgbt","2001-11-16","R","7.6",92711,1,0,0,0,0,1
"/title/tt0265666/","The Royal Tenenbaums","lgbt","2002-01-04","R","7.6",232117,1,1,0,0,0,0
"/title/tt0243655/","Wet Hot American Summer","lgbt","2002-04-11","R","6.7",46787,0,1,0,1,0,0
"/title/tt0295178/","Austin Powers in Goldmember","lgbt","2002-07-26","PG-13","6.2",175519,0,1,1,0,1,0
"/title/tt0286499/","Bend It Like Beckham","lgbt","2003-08-01","PG-13","6.7",96055,1,1,0,1,0,0
"/title/tt0295297/","Harry Potter and the Chamber of Secrets","lgbt","2002-11-15","PG","7.4",450341,0,0,0,0,1,0
"/title/tt0303361/","May","lgbt","2003-04-11","R","6.7",29158,1,0,0,0,0,1
"/title/tt0274558/","The Hours","lgbt","2003-02-14","PG-13","7.6",111367,1,0,0,1,0,0
"/title/tt0292644/","The Rules of Attraction","lgbt","2002-10-11","R","6.7",46479,1,1,0,1,0,0
"/title/tt0310281/","A Mighty Wind","lgbt","2003-05-09","PG-13","7.3",23580,0,1,0,0,0,0
"/title/tt0374506/","Arisan!","lgbt","2003-12-10",NA,"7.4",656,1,1,0,0,0,0
"/title/tt0363589/","Elephant","lgbt","2003-11-14","R","7.2",76766,1,0,0,0,0,1
"/title/tt0345551/","Latter Days","lgbt","2004-07-01","R","7.1",15558,1,1,0,1,0,0
"/title/tt0320244/","Party Monster","lgbt","2003-10-17","R","6.3",13549,1,0,0,0,0,1
"/title/tt0328589/","Under the Tuscan Sun","lgbt","2003-09-26","PG-13","6.8",40354,1,1,0,1,0,0
"/title/tt0359423/","A Home at the End of the World","lgbt","2004-10-14","R","6.8",12569,1,0,0,1,0,0
"/title/tt0275491/","Bad Education","lgbt","2005-02-11","NC-17","7.5",49253,1,0,0,0,0,1
"/title/tt0317198/","Bridget Jones: The Edge of Reason","lgbt","2004-11-19","R","5.9",89125,1,1,0,1,0,0
"/title/tt0364725/","Dodgeball: A True Underdog Story","lgbt","2004-06-18","PG-13","6.7",203035,0,1,0,0,0,0
"/title/tt0304141/","Harry Potter and the Prisoner of Azkaban","lgbt","2004-06-04","PG","7.8",445564,0,0,0,0,1,0
"/title/tt0377092/","Mean Girls","lgbt","2004-04-30","PG-13","7.0",279809,0,1,0,0,0,0
"/title/tt0370986/","Mysterious Skin","lgbt","2005-06-24","UNRATED","7.7",60732,1,0,0,0,0,1
"/title/tt0384504/","Saving Face","lgbt","2005-06-24","R","7.5",8514,1,1,0,1,0,0
"/title/tt0387575/","Seed of Chucky","lgbt","2004-11-12","R","4.9",32547,0,1,0,0,1,1
"/title/tt0362270/","The Life Aquatic with Steve Zissou","lgbt","2004-12-25","R","7.3",156395,1,1,0,0,1,0
"/title/tt0381707/","White Chicks","lgbt","2004-06-23","PG-13","5.5",110837,0,1,0,0,0,1
"/title/tt0377471/","Be Cool","lgbt","2005-03-04","PG-13","5.7",62636,0,1,0,0,0,1
"/title/tt0411195/","Breakfast on Pluto","lgbt","2006-01-06","R","7.3",18815,1,1,0,0,0,0
"/title/tt0388795/","Brokeback Mountain","lgbt","2006-01-13","R","7.7",284111,1,0,0,0,0,0
"/title/tt0401085/","C.R.A.Z.Y.","lgbt","2006-03-03","NOT RATED","8.0",29232,1,1,0,0,0,0
"/title/tt0379725/","Capote","lgbt","2006-02-03","R","7.4",111285,1,0,0,0,0,1
"/title/tt0330373/","Harry Potter and the Goblet of Fire","lgbt","2005-11-18","PG-13","7.7",446837,0,0,0,0,1,0
"/title/tt0421994/","Imagine Me & You","lgbt","2006-05-25","R","6.8",25839,1,1,0,1,0,0
"/title/tt0373469/","Kiss Kiss Bang Bang","lgbt","2005-11-18","R","7.6",193241,0,1,0,0,0,1
"/title/tt0294870/","Rent","lgbt","2005-11-23","PG-13","7.0",44617,1,0,0,1,0,0
"/title/tt0401792/","Sin City","lgbt","2005-04-01","R","8.0",697737,0,0,0,0,0,1
"/title/tt0395251/","The Producers","lgbt","2005-12-25","PG-13","6.4",37234,0,1,0,0,0,0
"/title/tt0407265/","Transamerica","lgbt","2006-03-03","R","7.4",38094,1,1,0,0,1,0
"/title/tt0434409/","V for Vendetta","lgbt","2006-03-17","R","8.2",897305,1,0,1,0,0,0
"/title/tt0396269/","Wedding Crashers","lgbt","2005-07-15","R","7.0",301526,0,1,0,1,0,0
"/title/tt0373450/","Where the Truth Lies","lgbt","2005-10-07","R","6.5",15876,1,0,0,0,0,1
"/title/tt0443431/","Another Gay Movie","lgbt","2007-05-03","NOT RATED","5.0",8197,0,1,0,1,0,0
"/title/tt0433350/","Boy Culture","lgbt","2007-01-31","UNRATED","6.8",5030,1,0,0,1,0,0
"/title/tt0479884/","Crank","lgbt","2006-09-01","R","7.0",212649,0,0,1,0,0,1
"/title/tt0420609/","Infamous","lgbt","2006-10-13","R","7.1",15110,1,0,0,0,0,1
"/title/tt0454987/","Let's Go to Prison","lgbt","2006-11-17","R","6.0",21195,0,1,0,0,0,1
"/title/tt0449059/","Little Miss Sunshine","lgbt","2006-08-18","R","7.8",390525,1,1,0,0,0,0
"/title/tt0323120/","Loving Annabelle","lgbt","2007-05-24","NOT RATED","6.6",10317,1,0,0,1,0,0
"/title/tt0367027/","Shortbus","lgbt","2006-10-20","NOT RATED","6.5",29351,1,0,0,1,0,0
"/title/tt0466665/","The Architect","lgbt","2006-04-26","R","5.6",1024,1,0,0,0,0,0
"/title/tt0476643/","The Bubble","lgbt","2007-09-07","UNRATED","7.3",4994,1,1,0,1,0,0
"/title/tt0464049/","The History Boys","lgbt","2006-12-22","R","6.9",18841,1,1,0,1,0,0
"/title/tt0445922/","Across the Universe","lgbt","2007-10-12","PG-13","7.4",98181,1,0,0,0,1,0
"/title/tt0910847/","Breakfast with Scot","lgbt","2007-11-16","PG-13","6.8",2689,1,1,0,0,0,0
"/title/tt0373889/","Harry Potter and the Order of the Phoenix","lgbt","2007-07-11","PG-13","7.5",413461,0,0,0,0,1,0
"/title/tt0762107/","I Now Pronounce You Chuck & Larry","lgbt","2007-07-20","PG-13","6.0",128487,0,1,0,1,0,0
"/title/tt1077258/","Planet Terror","lgbt","2007-06-21","NOT RATED","7.1",180968,0,1,1,0,0,1
"/title/tt0490204/","Reign Over Me","lgbt","2007-03-23","R","7.5",87980,1,0,0,0,0,0
"/title/tt0942384/","Shelter","lgbt","2009-04-16","R","7.8",18117,1,0,0,1,0,0
"/title/tt0841046/","Walk Hard: The Dewey Cox Story","lgbt","2007-12-21","R","6.8",59863,0,1,0,0,0,0
"/title/tt0889595/","Dream Boy","lgbt","2008-12-11","R","6.2",3364,1,0,0,1,0,0
"/title/tt0795421/","Mamma Mia!","lgbt","2008-07-18","PG-13","6.4",163305,0,1,0,1,0,0
"/title/tt1013753/","Milk","lgbt","2009-01-30","R","7.6",148922,1,0,0,0,0,0
"/title/tt1032755/","RocknRolla","lgbt","2008-10-31","R","7.3",211538,0,0,1,0,0,1
"/title/tt0862846/","Sunshine Cleaning","lgbt","2009-04-17","R","6.9",64389,1,1,0,0,0,0
"/title/tt1315981/","A Single Man","lgbt","2010-02-05","R","7.6",95170,1,0,0,1,0,0
"/title/tt1352824/","Chloe","lgbt","2010-03-26","R","6.3",62084,1,0,0,0,0,1
"/title/tt0417741/","Harry Potter and the Half-Blood Prince","lgbt","2009-07-15","PG","7.6",378710,0,0,0,0,1,0
"/title/tt1045772/","I Love You Phillip Morris","lgbt","2011-01-07","R","6.6",84231,0,1,0,0,0,1
"/title/tt1032815/","I Love You, Beth Cooper","lgbt","2009-07-10","PG-13","5.3",30632,0,1,0,1,0,0
"/title/tt1131734/","Jennifer's Body","lgbt","2009-09-18","R","5.1",100538,0,1,0,0,0,1
"/title/tt1288571/","Shank","lgbt","2009-09-11","R","6.3",2244,1,0,0,0,0,0
"/title/tt1119646/","The Hangover","lgbt","2009-06-05","R","7.7",636687,0,1,0,0,0,0
"/title/tt1285309/","The Joneses","lgbt","2010-04-23","R","6.5",35704,1,0,0,0,0,0
"/title/tt1532503/","Beginners","lgbt","2011-06-09","R","7.2",80751,1,1,0,1,0,0
"/title/tt1282140/","Easy A","lgbt","2010-09-17","PG-13","7.1",310642,1,1,0,1,0,0
"/title/tt1523483/","Kaboom","lgbt","2010-10-06","NOT RATED","5.7",11320,0,1,0,1,0,1
"/title/tt0446029/","Scott Pilgrim vs. the World","lgbt","2010-08-13","PG-13","7.5",313246,0,1,1,1,0,0
"/title/tt1261945/","Sex and the City 2","lgbt","2010-05-27","R","4.4",65362,1,1,0,1,0,0
"/title/tt0842926/","The Kids Are All Right","lgbt","2010-07-30","R","7.0",117338,1,1,0,1,0,0
"/title/tt1320244/","The Last Exorcism","lgbt","2010-08-27","PG-13","5.6",44244,1,0,0,0,0,1
"/title/tt0817230/","Valentine's Day","lgbt","2010-02-12","PG-13","5.7",102597,0,1,0,1,0,0
"/title/tt1616195/","J. Edgar","lgbt","2011-11-11","R","6.6",111437,1,0,0,0,0,1
"/title/tt1625150/","North Sea Texas","lgbt","2012-11-02","NOT RATED","7.2",6851,1,0,0,1,0,0
"/title/tt1412386/","The Best Exotic Marigold Hotel","lgbt","2012-05-25","PG-13","7.3",81778,1,1,0,1,0,0
"/title/tt1568346/","The Girl with the Dragon Tattoo","lgbt","2011-12-21","R","7.8",366482,1,0,0,0,0,1
"/title/tt1411697/","The Hangover Part II","lgbt","2011-05-26","R","6.5",411260,0,1,0,0,0,1
"/title/tt1371111/","Cloud Atlas","lgbt","2012-10-26","R","7.5",312700,1,0,1,0,0,1
